,Date,Prices
101,1998-12-04 00:00:00,1.34
102,1998-12-11 00:00:00,1.6
103,1998-12-18 00:00:00,1.93
104,1998-12-25 00:00:00,1.95
105,1999-01-01 00:00:00,1.84
106,1999-01-08 00:00:00,2
107,1999-01-15 00:00:00,1.81
108,1999-01-22 00:00:00,1.81
109,1999-01-29 00:00:00,1.76
110,1999-02-05 00:00:00,1.79
111,1999-02-12 00:00:00,1.81
112,1999-02-19 00:00:00,1.79
113,1999-02-26 00:00:00,1.7
114,1999-03-05 00:00:00,1.69
115,1999-03-12 00:00:00,1.87
116,1999-03-19 00:00:00,1.75
117,1999-03-26 00:00:00,1.79
118,1999-04-02 00:00:00,1.92
119,1999-04-09 00:00:00,2.04
120,1999-04-16 00:00:00,2.12
121,1999-04-23 00:00:00,2.18
122,1999-04-30 00:00:00,2.3
123,1999-05-07 00:00:00,2.3
124,1999-05-14 00:00:00,2.24
125,1999-05-21 00:00:00,2.27
126,1999-05-28 00:00:00,2.23
127,1999-06-04 00:00:00,2.34
128,1999-06-11 00:00:00,2.37
129,1999-06-18 00:00:00,2.27
130,1999-06-25 00:00:00,2.25
131,1999-07-02 00:00:00,2.29
132,1999-07-09 00:00:00,2.21
133,1999-07-16 00:00:00,2.14
134,1999-07-23 00:00:00,2.29
135,1999-07-30 00:00:00,2.58
136,1999-08-06 00:00:00,2.63
137,1999-08-13 00:00:00,2.75
138,1999-08-20 00:00:00,2.8
139,1999-08-27 00:00:00,2.98
140,1999-09-03 00:00:00,2.69
141,1999-09-10 00:00:00,2.7
142,1999-09-17 00:00:00,2.58
143,1999-09-24 00:00:00,2.42
144,1999-10-01 00:00:00,2.46
145,1999-10-08 00:00:00,2.45
146,1999-10-15 00:00:00,2.67
147,1999-10-22 00:00:00,2.92
148,1999-10-29 00:00:00,2.94
149,1999-11-05 00:00:00,2.75
150,1999-11-12 00:00:00,2.39
151,1999-11-19 00:00:00,2.24
152,1999-11-26 00:00:00,2
153,1999-12-03 00:00:00,2.2
154,1999-12-10 00:00:00,2.21
155,1999-12-17 00:00:00,2.49
156,1999-12-24 00:00:00,2.53
157,1999-12-31 00:00:00,2.33
158,2000-01-07 00:00:00,2.18
159,2000-01-14 00:00:00,2.25
160,2000-01-21 00:00:00,2.46
161,2000-01-28 00:00:00,2.71
162,2000-02-04 00:00:00,2.81
163,2000-02-11 00:00:00,2.67
164,2000-02-18 00:00:00,2.64
165,2000-02-25 00:00:00,2.52
166,2000-03-03 00:00:00,2.7
167,2000-03-10 00:00:00,2.74
168,2000-03-17 00:00:00,2.81
169,2000-03-24 00:00:00,2.77
170,2000-03-31 00:00:00,2.88
171,2000-04-07 00:00:00,2.92
172,2000-04-14 00:00:00,3.03
173,2000-04-21 00:00:00,3.11
174,2000-04-28 00:00:00,3.11
175,2000-05-05 00:00:00,3.15
176,2000-05-12 00:00:00,3.26
177,2000-05-19 00:00:00,3.56
178,2000-05-26 00:00:00,4.04
179,2000-06-02 00:00:00,4.36
180,2000-06-09 00:00:00,4.19
181,2000-06-16 00:00:00,4.3
182,2000-06-23 00:00:00,4.28
183,2000-06-30 00:00:00,4.39
184,2000-07-07 00:00:00,4.15
185,2000-07-14 00:00:00,4.18
186,2000-07-21 00:00:00,3.98
187,2000-07-28 00:00:00,3.72
188,2000-08-04 00:00:00,4.01
189,2000-08-11 00:00:00,4.44
190,2000-08-18 00:00:00,4.33
191,2000-08-25 00:00:00,4.63
192,2000-09-01 00:00:00,4.66
193,2000-09-08 00:00:00,4.82
194,2000-09-15 00:00:00,5.05
195,2000-09-22 00:00:00,5.17
196,2000-09-29 00:00:00,5.21
197,2000-10-06 00:00:00,5.2
198,2000-10-13 00:00:00,5.26
199,2000-10-20 00:00:00,5.17
200,2000-10-27 00:00:00,4.68
201,2000-11-03 00:00:00,4.49
202,2000-11-10 00:00:00,4.96
203,2000-11-17 00:00:00,5.78
204,2000-11-24 00:00:00,6.29
205,2000-12-01 00:00:00,6.18
206,2000-12-08 00:00:00,8.16
207,2000-12-15 00:00:00,8.37
208,2000-12-22 00:00:00,9.86
209,2000-12-29 00:00:00,9.88
210,2001-01-05 00:00:00,9.79
211,2001-01-12 00:00:00,9.57
212,2001-01-19 00:00:00,7.68
213,2001-01-26 00:00:00,7.07
214,2001-02-02 00:00:00,6.23
215,2001-02-09 00:00:00,5.98
216,2001-02-16 00:00:00,5.63
217,2001-02-23 00:00:00,5.13
218,2001-03-02 00:00:00,5.14
219,2001-03-09 00:00:00,5.24
220,2001-03-16 00:00:00,5.12
221,2001-03-23 00:00:00,5.2
222,2001-03-30 00:00:00,5.39
223,2001-04-06 00:00:00,5.27
224,2001-04-13 00:00:00,5.44
225,2001-04-20 00:00:00,5.21
226,2001-04-27 00:00:00,4.99
227,2001-05-04 00:00:00,4.56
228,2001-05-11 00:00:00,4.22
229,2001-05-18 00:00:00,4.31
230,2001-05-25 00:00:00,4.05
231,2001-06-01 00:00:00,3.74
232,2001-06-08 00:00:00,3.79
233,2001-06-15 00:00:00,3.97
234,2001-06-22 00:00:00,3.81
235,2001-06-29 00:00:00,3.3
236,2001-07-06 00:00:00,3
237,2001-07-13 00:00:00,3.19
238,2001-07-20 00:00:00,3.07
239,2001-07-27 00:00:00,3.08
240,2001-08-03 00:00:00,3.21
241,2001-08-10 00:00:00,3.09
242,2001-08-17 00:00:00,3.18
243,2001-08-24 00:00:00,3.04
244,2001-08-31 00:00:00,2.45
245,2001-09-07 00:00:00,2.34
246,2001-09-14 00:00:00,2.4
247,2001-09-21 00:00:00,2.15
248,2001-09-28 00:00:00,1.9
249,2001-10-05 00:00:00,1.96
250,2001-10-12 00:00:00,2.21
251,2001-10-19 00:00:00,2.42
252,2001-10-26 00:00:00,2.86
253,2001-11-02 00:00:00,3.06
254,2001-11-09 00:00:00,2.72
255,2001-11-16 00:00:00,2.16
